"person_id","attribute_id","match_int"
3082,53,1
3082,54,1
3082,56,1
3082,57,1
3082,59,1
3082,60,1
3082,61,1
3082,63,1
3082,64,1
3082,65,1
3082,66,1
3082,67,1
3082,72,0
3082,73,1
3082,74,1
3082,82,1
3082,83,1
3082,84,1
3082,86,1
3082,87,1
3082,88,1
3082,90,1
3082,91,1
3082,92,1
3082,93,1
3082,147,1
3082,148,0
3082,149,0
3082,150,0
3082,194,0
3082,196,0
3082,197,0
3082,198,0
3082,200,0
3082,201,1
3082,202,0
3082,203,1
3084,1,1
3084,2,0
3084,3,1
3084,5,1
3084,6,1
3084,7,1
3084,9,0
3084,10,1
3084,11,0
3084,12,0
3084,49,1
3084,50,1
3084,52,1
3084,53,1
3084,54,1
3084,56,1
3084,57,1
3084,59,1
3084,60,1
3084,61,1
3084,63,1
3084,64,1
3084,65,1
3084,66,1
3084,67,1
3084,72,1
3084,73,1
3084,74,1
3084,82,1
3084,83,1
3084,84,1
3084,86,1
3084,87,1
3084,88,1
3084,90,1
3084,91,1
3084,92,1
3084,93,1
3084,147,0
3084,148,1
3084,149,0
3084,150,0
3084,152,1
3084,153,1
3084,154,0
3084,155,1
3084,157,0
3084,159,0
3084,160,0
3084,164,0
3084,170,0
3084,171,0
3084,172,0
3084,173,0
3084,174,0
3084,175,0
3084,176,0
3084,177,0
3084,178,0
3084,181,0
3084,182,0
3084,183,0
3084,184,0
3084,194,0
3084,196,0
3084,197,0
3084,198,0
3084,200,0
3084,201,1
3084,202,0
3084,203,0
3094,1,1
3094,2,1
3094,3,0
3094,5,1
3094,6,1
3094,7,1
3094,9,0
3094,10,0
3094,11,1
3094,12,0
3094,29,0
3094,30,0
3094,31,0
3094,32,1
3094,35,0
3094,36,0
3094,37,0
3094,39,0
3094,40,0
3094,41,0
3094,49,1
3094,50,1
3094,52,1
3094,53,1
3094,54,1
3094,56,1
3094,57,1
3094,59,1
3094,60,1
3094,61,1
3094,63,1
3094,64,1
3094,65,1
3094,66,1
3094,67,1
3094,72,0
3094,73,0
3094,74,1
3094,82,1
3094,83,1
3094,84,1
3094,86,1
3094,87,1
3094,88,1
3094,90,1
3094,91,1
3094,92,1
3094,93,0
3094,147,1
3094,148,0
3094,149,0
3094,150,0
3094,194,0
3094,196,0
3094,197,0
3094,198,0
3094,200,0
3094,201,1
3094,202,0
3094,203,0
3095,1,1
3095,2,0
3095,3,1
3095,5,1
3095,6,1
3095,7,1
3095,9,0
3095,10,0
3095,11,0
3095,12,1
3095,29,0
3095,30,0
3095,31,0
3095,32,0
3095,33,0
3095,34,0
3095,35,0
3095,36,0
3095,37,0
3095,39,1
3095,49,1
3095,50,1
3095,52,1
3095,53,1
3095,54,1
3095,56,1
3095,57,1
3095,59,1
3095,60,1
3095,61,1
3095,63,1
3095,64,1
3095,65,1
3095,66,1
3095,67,1
3095,72,0
3095,73,0
3095,74,1
3095,82,1
3095,83,1
3095,84,1
3095,86,1
3095,87,1
3095,88,1
3095,90,1
3095,91,0
3095,92,0
3095,93,0
3095,147,0
3095,148,1
3095,149,0
3095,150,0
3095,152,1
3095,153,1
3095,154,0
3095,155,1
3095,157,0
3095,159,0
3095,160,0
3095,164,0
3095,170,1
3095,171,0
3095,172,0
3095,173,0
3095,174,0
3095,175,0
3095,176,0
3095,177,0
3095,178,0
3095,181,0
3095,182,0
3095,183,0
3095,184,0
3095,194,0
3095,196,1
3095,197,0
3095,198,0
3095,200,0
3095,201,1
3095,202,0
3095,203,0
3114,1,1
3114,2,0
3114,3,1
3114,5,1
3114,6,1
3114,7,1
3114,9,0
3114,10,1
3114,11,0
3114,12,0
3114,29,0
3114,30,0
3114,31,0
3114,32,0
3114,33,0
3114,34,0
3114,35,1
3114,36,1
3114,37,0
3114,39,0
3114,40,0
3114,41,0
3114,49,1
3114,50,1
3114,52,1
3114,53,1
3114,54,1
3114,56,1
3114,57,1
3114,59,1
3114,60,1
3114,61,1
3114,63,1
3114,64,1
3114,65,1
3114,66,1
3114,67,1
